               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.036244,            0.034088,           0.0058246,             0.71741,             0.61689,             0.62999,             0.25409,            0.049754,            0.027747,            0.018021,            0.003268,            0.003268,            0.003268
                 138,            0.034567,            0.034236,           0.0056371,             0.66552,             0.64047,             0.62251,             0.26651,            0.049599,            0.027103,            0.019226,           0.0032185,           0.0032185,           0.0032185
                 139,            0.034727,            0.034267,           0.0049605,              0.6316,             0.69742,             0.64817,             0.27582,            0.049235,            0.026883,            0.019424,            0.003169,            0.003169,            0.003169
                 140,            0.035987,            0.035954,           0.0054999,             0.67168,             0.67868,             0.64664,             0.26837,            0.049637,            0.026941,            0.018871,           0.0031195,           0.0031195,           0.0031195
                 141,             0.03402,            0.032768,           0.0052828,             0.69399,             0.66411,             0.63533,              0.2637,            0.050026,            0.027844,             0.01856,             0.00307,             0.00307,             0.00307
                 142,            0.034261,            0.032728,           0.0051885,             0.68918,             0.67251,             0.64225,             0.25849,            0.048989,            0.027953,            0.017878,           0.0030205,           0.0030205,           0.0030205
                 143,             0.03476,            0.033813,            0.005691,             0.65419,             0.62666,             0.60268,             0.24642,            0.049831,            0.028869,            0.019417,            0.002971,            0.002971,            0.002971
                 144,            0.034803,            0.034648,           0.0054839,             0.62145,             0.66304,             0.59681,             0.25883,             0.04896,            0.028121,            0.018045,           0.0029215,           0.0029215,           0.0029215
                 145,            0.033946,            0.032849,           0.0050192,             0.72167,             0.69283,             0.66796,             0.28664,            0.048784,             0.02756,            0.017267,            0.002872,            0.002872,            0.002872
                 146,            0.034273,            0.034676,           0.0049646,              0.6993,             0.66182,             0.67027,             0.28924,            0.048834,            0.027315,            0.017996,           0.0028225,           0.0028225,           0.0028225
                 147,              0.0342,             0.03272,           0.0050654,             0.64799,              0.7027,             0.64566,              0.2757,            0.048885,            0.027528,            0.018398,            0.002773,            0.002773,            0.002773
                 148,            0.033591,            0.034193,           0.0048214,             0.73783,             0.59555,             0.64417,             0.27104,            0.048676,            0.027786,             0.01866,           0.0027235,           0.0027235,           0.0027235
                 149,            0.033884,            0.033573,           0.0051603,             0.68937,             0.65425,             0.63597,             0.26877,            0.049033,             0.02814,             0.01819,            0.002674,            0.002674,            0.002674
                 150,            0.033655,            0.034165,           0.0050183,             0.74964,             0.62532,             0.63874,              0.2792,            0.048751,            0.028437,            0.020182,           0.0026245,           0.0026245,           0.0026245
                 151,            0.034068,            0.034128,           0.0049621,             0.67039,             0.61581,             0.60008,             0.24858,            0.049468,            0.028521,            0.020584,            0.002575,            0.002575,            0.002575
                 152,            0.033471,            0.032422,           0.0048521,             0.74298,             0.61263,             0.62596,             0.26189,            0.048626,            0.027702,            0.018959,           0.0025255,           0.0025255,           0.0025255
                 153,            0.033851,             0.03257,           0.0049871,             0.70984,             0.63712,             0.64501,             0.25138,            0.049056,            0.027592,             0.01914,            0.002476,            0.002476,            0.002476
                 154,            0.033845,            0.033635,           0.0051131,             0.68644,             0.61518,              0.6204,             0.24597,            0.049472,            0.028134,             0.02087,           0.0024265,           0.0024265,           0.0024265
                 155,            0.033206,            0.032409,           0.0050865,             0.70303,             0.60658,             0.61697,             0.25624,             0.04955,            0.028147,            0.019932,            0.002377,            0.002377,            0.002377
